procedure_id,procedure_name,avg_cost
1,which,4633
2,low,829
3,get,11132
4,risk,12058
5,see,8867
6,bring,9013
7,bad,4158
8,him,2658
9,choice,7991
10,stay,8508
11,tough,8997
12,I,11509
13,analysis,6262
14,alone,14741
15,class,3544
16,skill,8444
17,site,9020
18,today,8656
19,season,5682
20,soldier,1592
21,between,3794
22,time,6758
23,decade,11054
24,fall,13579
25,policy,14519
26,room,10217
27,choice,2050
28,its,6635
29,fear,9809
30,this,5594
31,billion,11866
32,make,12356
33,should,11482
34,foot,7411
35,maintain,5842
36,by,6464
37,join,13653
38,knowledge,7002
39,here,594
40,race,5873
41,section,6615
42,season,3549
43,data,3391
44,close,7464
45,though,1417
46,because,1582
47,bring,4137
48,rise,2093
49,purpose,10503
50,become,5388
51,television,6883
52,back,12568
53,structure,7781
54,culture,9769
55,choose,14610
56,old,1955
57,though,5911
58,maintain,13435
59,yes,11067
60,dream,13686
61,any,2704
62,though,11338
63,that,4734
64,fire,7298
65,what,836
66,enjoy,9892
67,relationship,9618
68,deal,3992
69,size,13044
70,budget,8498
71,service,7589
72,civil,927
73,school,1438
74,traditional,3311
75,participant,3849
76,per,9456
77,production,2333
78,three,3382
79,camera,13039
80,clear,4227
81,generation,3649
82,way,2224
83,act,11619
84,turn,11839
85,recently,11316
86,maybe,12994
87,short,13525
88,just,10147
89,several,6015
90,itself,3380
91,wrong,5807
92,everybody,673
93,thought,11366
94,myself,3816
95,list,14341
96,change,8992
97,pass,2250
98,direction,1251
99,name,12101
100,statement,7972
